Periode,WHSEID,Storerkey,SKUGroup,Putawayzone,Descr,CBM Loc,Stock,% Utilization,Inbound,Outbound,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BA,,,0,"6,860",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BB,R110BB,TABLE & CABINET,"10,059","1,168",11.6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BC,,,0,"4,850",0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BD,R110BD,DINING,"2,737","1,778",65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BE,R110BE,KITCHEN,247,234,94.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BF,R110BF,BEDROOM,"2,775","1,787",64.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BG,R110BG,MATTRESS,"9,138","5,748",62.9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BH,,,0,116,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BI,R110BI,KIDS SPACE,996,617,61.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BJ,,,0,353,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BK,,,0,980,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BL,,,0,65,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BM,R110BM,HOME ORGANIZER,541,485,89.7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BN,R110BN,HOMEWARE,364,123,33.8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BO,,,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BP,R110BP,OFFICE,"2,839","1,482",52.2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BQ,R110BQ,OFFICE SEATING,"4,276","5,009",117.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110BR,R110BR,COMMERCIAL & BUSINESS,"6,248","4,170",66.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CA,,,0,532,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CB,R110CB,TEXTILE,428,9,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CC,R110CC,KASUR,955,296,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CD,R110CD,RUANG TAMU & PENYIMPANAN,449,166,37,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CE,R110CE,RUANG MAKAN & DAPUR,731,93,12.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CF,R110CF,PERALATAN MAKAN & DAPUR,126,15,12.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CG,R110CG,RUANG TIDUR,428,111,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
4 Jun 2026,WMWHSE10,HCI,R110CH,R110CH,PERLENGKAPAN RUMAH,428,26,6.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
